description,price,rating,review_count,url
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-8-32-9980/dp/B084TGM6NC/ref=sr_1_45?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-45
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Women-Leather-Sandals-33-497-11-40/dp/B081RLCVDH/ref=sr_1_46?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-46
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-5-32-317/dp/B07ZS7T8W1/ref=sr_1_47?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-47
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-6-33-748/dp/B07ZS6KMW3/ref=sr_1_48?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-48
Men Leather Sandals (16-417),,,,https://www.amazon.in/Mochi-Maroon-Leather-Sandals-16-417-44-42/dp/B08QN9GZC1/ref=sr_1_49?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-49
Women Synthetic Sandals (33-1252),,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-33-1252-12-40/dp/B08XJN5CTL/ref=sr_1_50?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-50
Women Synthetic Fashion Sandals,,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-33-1415-23-40/dp/B08X2QRW6R/ref=sr_1_51?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-51
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-9-35-3365/dp/B08L5N29JN/ref=sr_1_52?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-52
Womens Fashion Slippers,,,,https://www.amazon.in/Mochi-Women-Antic-Synthetic-Sandals/dp/B0762LKJJ2/ref=sr_1_53?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-53
Women's Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Antic-Fashion-Sandals/dp/B01GTGX7YY/ref=sr_1_54?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-54
Womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Beigemulti-Outdoor-Sandals-8-32-548/dp/B08CR97Q4S/ref=sr_1_55?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-55
Women Synthetic Fashion Sandals,,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-40-2338-11-38/dp/B08X2Q72SR/ref=sr_1_56?dchild=1&keywords=Mochi+sandals&qid=1620019754&sr=8-56
womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07499832CIHW0ZZHNWZG&url=%2FMochi-Blue-Navy-Fashion-Sandals-33-1093%2Fdp%2FB08CR9KW1J%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-57-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_btf
Women's Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01926443Q00OTOIAFMS2&url=%2FMochi-Women-Synthetic-Sandals-EURO40%2Fdp%2FB078TM1CY9%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-58-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_btf
Womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01070733HPPE0AR7PL7O&url=%2FMochi-35-3053-Women-Black-Synthetic%2Fdp%2FB084TVJR89%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-59-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_btf
Womens Fashion Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07532512TRZNMUH2HY6X&url=%2FMochi-Womens-Fashion-Sandals-5-33-950%2Fdp%2FB08L5L8Y8Z%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019754%26sr%3D8-60-spons%26psc%3D1&qualifier=1620019754&id=5426133749831930&widgetName=sp_btf
womens Outdoor Sandals,,,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A07410551BT5DYGXJB03C&url=%2FMochi-Chikoo-Synthetic-Sandals-33-853-22-39%2Fdp%2FB07V6HQV92%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DMochi%2Bsandals%26qid%3D1620019766%26sr%3D8-49-spons%26psc%3D1&qualifier=1620019766&id=6788821731735638&widgetName=sp_atf_next
